STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
24,025,303300,6096,39.523536,-76.420633
24,025,303400,4207,39.489244,-76.381997
24,025,303501,6490,39.512747,-76.345018
24,025,303502,3680,39.53537,-76.378598
24,025,303602,3799,39.522896,-76.325678
24,025,303603,6710,39.557729,-76.340442
24,025,303605,5936,39.538108,-76.316451
24,025,303606,3363,39.528144,-76.301479
24,025,303700,3815,39.541409,-76.273992
24,025,303801,2615,39.534322,-76.35971
24,025,303802,2034,39.550394,-76.360246
24,025,303803,4981,39.544939,-76.346014
24,025,303900,2372,39.532277,-76.33424
24,025,304101,4382,39.636754,-76.476608
24,025,304102,3708,39.690266,-76.500508
24,025,304201,6220,39.556908,-76.493301
24,025,304202,6802,39.588549,-76.458658
24,025,305100,7432,39.67963,-76.345417
24,025,305200,2734,39.657871,-76.252827
24,025,305300,2208,39.634719,-76.233199
24,025,306100,4025,39.548526,-76.095881
24,025,306200,2166,39.539779,-76.095658
24,025,306300,2373,39.536579,-76.134861
24,025,306400,6013,39.553429,-76.116335
24,025,306500,2216,39.483655,-76.149371
24,027,601103,5763,39.203737,-76.769804
24,027,601104,5761,39.22633,-76.772687
24,027,601105,3992,39.222221,-76.798330000000007
24,027,601107,4214,39.189417,-76.786259
24,027,601108,3746,39.202872,-76.786912
24,027,601201,7544,39.206452,-76.725541
24,027,601203,3893,39.175488,-76.777342
24,027,601204,5229,39.198041,-76.743545
24,027,602100,7852,39.305893,-76.840295
24,027,602201,3282,39.289951,-76.874908
24,027,602202,5306,39.285878,-76.8408
24,027,602302,6842,39.238645,-76.814329
24,027,602303,3736,39.270664,-76.872417
24,027,602304,4729,39.259638,-76.857871
24,027,602305,3667,39.260057,-76.84273
24,027,602306,5220,39.26065,-76.833025
24,027,602600,7113,39.287928,-76.815352
24,027,602700,5014,39.24559,-76.787821
24,027,602800,5813,39.26417,-76.808143
24,027,602900,4123,39.283412,-76.801114
24,027,603001,5401,39.31505,-76.89018
24,027,603003,4186,39.316367,-76.964968
24,027,603004,6199,39.27778,-76.932783
24,027,604001,6275,39.335274,-77.091612
24,027,604002,7624,39.290841,-77.037796
24,027,605102,8211,39.167142,-76.918582
24,027,605103,5075,39.199038,-76.977631
24,027,605104,4316,39.240058,-76.975913
24,027,605401,5149,39.232254,-76.850468
24,027,605402,7055,39.218613,-76.864909
24,027,605502,5182,39.217848,-76.897922
